wl nw Kw GSV1 GSV2 GSV3
519 1.33 0.000407 0.999763 0.584249 0.257367
520 1.33 0.000409 1 0.58554 0.25208
521 1.33 0.000414 0.999885 0.586901 0.245974
522 1.33 0.000416 0.99977 0.588262 0.239868
523 1.33 0.000411 0.999655 0.589623 0.233762
524 1.33 0.000409 0.99954 0.590984 0.227656
525 1.33 0.000418 0.999425 0.592345 0.22155
526 1.33 0.000427 0.99931 0.593706 0.215444
527 1.33 0.000427 0.999195 0.595067 0.209338
528 1.33 0.000423 0.99908 0.596428 0.203232
529 1.33 0.000424 0.998965 0.597789 0.197126
530 1.33 0.000429 0.99885 0.59915 0.19102
531 1.33 0.000437 0.998024 0.600557 0.183646
532 1.33 0.000445 0.997198 0.601964 0.176272
533 1.33 0.000451 0.996372 0.603371 0.168898
534 1.33 0.000456 0.995546 0.604778 0.161524
535 1.33 0.000463 0.99472 0.606185 0.15415
536 1.33 0.00047 0.993894 0.607592 0.146776
537 1.33 0.000475 0.993068 0.608999 0.139402
538 1.33 0.00048 0.992242 0.610406 0.132028
539 1.33 0.000488 0.991416 0.611813 0.124654
540 1.33 0.000495 0.99059 0.61322 0.11728
541 1.33 0.000498 0.988931 0.61468 0.108533
542 1.33 0.000503 0.987272 0.61614 0.099786
543 1.33 0.000514 0.985613 0.6176 0.091039
544 1.33 0.000527 0.983954 0.61906 0.082292
545 1.33 0.000536 0.982295 0.62052 0.073545
546 1.33 0.000544 0.980636 0.62198 0.064798
547 1.33 0.000553 0.978977 0.62344 0.056051
548 1.33 0.000564 0.977318 0.6249 0.047304
549 1.33 0.000576 0.975659 0.62636 0.038557
550 1.33 0.000588 0.974 0.62782 0.02981
551 1.33 0.0006 0.971434 0.629315 0.019788
552 1.33 0.000611 0.968868 0.63081 0.009766
553 1.33 0.000622 0.966302 0.632305 -0.000255999999999999
554 1.33 0.000631 0.963736 0.6338 -0.010278
555 1.33 0.000639 0.96117 0.635295 -0.0203
556 1.33 0.000646 0.958604 0.63679 -0.030322
557 1.33 0.000652 0.956038 0.638285 -0.040344
558 1.33 0.000658 0.953472 0.63978 -0.050366
559 1.33 0.000665 0.950906 0.641275 -0.060388
560 1.33 0.000672 0.94834 0.64277 -0.07041
561 1.33 0.000679 0.945049 0.644222 -0.080868
562 1.33 0.000686 0.941758 0.645674 -0.091326
563 1.33 0.000692 0.938467 0.647126 -0.101784
564 1.33 0.000699 0.935176 0.648578 -0.112242
565 1.33 0.000708 0.931885 0.65003 -0.1227
566 1.33 0.000718 0.928594 0.651482 -0.133158
567 1.33 0.000726 0.925303 0.652934 -0.143616
568 1.33 0.000734 0.922012 0.654386 -0.154074
569 1.33 0.000746 0.918721 0.655838 -0.164532
570 1.33 0.000759 0.91543 0.65729 -0.17499
571 1.33 0.000773 0.911669 0.658629 -0.185014
572 1.33 0.000787 0.907908 0.659968 -0.195038
573 1.33 0.000802 0.904147 0.661307 -0.205062
574 1.33 0.000819 0.900386 0.662646 -0.215086
575 1.33 0.000839 0.896625 0.663985 -0.22511
576 1.33 0.000858 0.892864 0.665324 -0.235134
577 1.33 0.000875 0.889103 0.666663 -0.245158
578 1.33 0.000896 0.885342 0.668002 -0.255182
579 1.33 0.000924 0.881581 0.669341 -0.265206
580 1.33 0.000952 0.87782 0.67068 -0.27523
581 1.33 0.000975 0.87446 0.671835 -0.28317
582 1.33 0.001 0.8711 0.67299 -0.29111
583 1.33 0.00104 0.86774 0.674145 -0.29905
584 1.33 0.00108 0.86438 0.6753 -0.30699
585 1.33 0.00112 0.86102 0.676455 -0.31493
586 1.33 0.00116 0.85766 0.67761 -0.32287
587 1.33 0.0012 0.8543 0.678765 -0.33081
588 1.33 0.00125 0.85094 0.67992 -0.33875
589 1.33 0.0013 0.84758 0.681075 -0.34669
590 1.33 0.00136 0.84422 0.68223 -0.35463
591 1.33 0.00141 0.841152 0.683235 -0.360836
592 1.33 0.00146 0.838084 0.68424 -0.367042
593 1.33 0.00151 0.835016 0.685245 -0.373248
594 1.33 0.00157 0.831948 0.68625 -0.379454
595 1.33 0.00164 0.82888 0.687255 -0.38566
596 1.33 0.0017 0.825812 0.68826 -0.391866
597 1.33 0.00176 0.822744 0.689265 -0.398072
598 1.33 0.00186 0.819676 0.69027 -0.404278
599 1.33 0.00204 0.816608 0.691275 -0.410484
600 1.33 0.00222 0.81354 0.69228 -0.41669
601 1.33 0.00232 0.811026 0.693181 -0.420817
602 1.33 0.00237 0.808512 0.694082 -0.424944
603 1.33 0.0024 0.805998 0.694983 -0.429071
604 1.33 0.00245 0.803484 0.695884 -0.433198
605 1.33 0.00252 0.80097 0.696785 -0.437325
606 1.33 0.00259 0.798456 0.697686 -0.441452
607 1.33 0.00263 0.795942 0.698587 -0.445579
608 1.33 0.00265 0.793428 0.699488 -0.449706
609 1.33 0.00267 0.790914 0.700389 -0.453833
610 1.33 0.00269 0.7884 0.70129 -0.45796
611 1.33 0.0027 0.786211 0.702139 -0.460548
612 1.33 0.00272 0.784022 0.702988 -0.463136
613 1.33 0.00273 0.781833 0.703837 -0.465724
614 1.33 0.00274 0.779644 0.704686 -0.468312
615 1.33 0.00275 0.777455 0.705535 -0.4709
616 1.33 0.00276 0.775266 0.706384 -0.473488
617 1.33 0.00278 0.773077 0.707233 -0.476076
618 1.33 0.00279 0.770888 0.708082 -0.478664
619 1.33 0.0028 0.768699 0.708931 -0.481252
620 1.33 0.00281 0.76651 0.70978 -0.48384
621 1.33 0.00282 0.764341 0.710618 -0.485818
622 1.33 0.00284 0.762172 0.711456 -0.487796
623 1.33 0.00285 0.760003 0.712294 -0.489774
624 1.33 0.00287 0.757834 0.713132 -0.491752
625 1.33 0.00288 0.755665 0.71397 -0.49373
626 1.33 0.00289 0.753496 0.714808 -0.495708
627 1.33 0.00291 0.751327 0.715646 -0.497686
628 1.33 0.00292 0.749158 0.716484 -0.499664
629 1.33 0.00294 0.746989 0.717322 -0.501642
630 1.33 0.00296 0.74482 0.71816 -0.50362
631 1.33 0.00297 0.742585 0.719002 -0.505653
632 1.33 0.00299 0.74035 0.719844 -0.507686
633 1.33 0.003 0.738115 0.720686 -0.509719
634 1.33 0.00301 0.73588 0.721528 -0.511752
635 1.33 0.00302 0.733645 0.72237 -0.513785
636 1.33 0.00304 0.73141 0.723212 -0.515818
637 1.33 0.00306 0.729175 0.724054 -0.517851
638 1.33 0.00308 0.72694 0.724896 -0.519884
639 1.33 0.00309 0.724705 0.725738 -0.521917
640 1.33 0.00311 0.72247 0.72658 -0.52395
641 1.33 0.00313 0.720278 0.727429 -0.525609
642 1.33 0.00314 0.718086 0.728278 -0.527268
643 1.33 0.00316 0.715894 0.729127 -0.528927
644 1.33 0.00318 0.713702 0.729976 -0.530586
645 1.33 0.0032 0.71151 0.730825 -0.532245
646 1.33 0.00322 0.709318 0.731674 -0.533904
647 1.33 0.00324 0.707126 0.732523 -0.535563
648 1.33 0.00326 0.704934 0.733372 -0.537222
649 1.33 0.00329 0.702742 0.734221 -0.538881
650 1.33 0.00332 0.70055 0.73507 -0.54054
651 1.33 0.00334 0.698411 0.735912 -0.541934
652 1.33 0.00336 0.696272 0.736754 -0.543328
653 1.33 0.00339 0.694133 0.737596 -0.544722
654 1.33 0.00342 0.691994 0.738438 -0.546116
655 1.33 0.00346 0.689855 0.73928 -0.54751
656 1.33 0.00351 0.687716 0.740122 -0.548904
657 1.33 0.00357 0.685577 0.740964 -0.550298
658 1.33 0.00364 0.683438 0.741806 -0.551692
659 1.33 0.00371 0.681299 0.742648 -0.553086
660 1.33 0.00379 0.67916 0.74349 -0.55448
661 1.33 0.00387 0.676841 0.744334 -0.556014
662 1.33 0.00393 0.674522 0.745178 -0.557548
663 1.33 0.00398 0.672203 0.746022 -0.559082
664 1.33 0.00402 0.669884 0.746866 -0.560616
665 1.33 0.00405 0.667565 0.74771 -0.56215
666 1.33 0.00407 0.665246 0.748554 -0.563684
